0.2682,0.3256,3.8,0.2682,0.3256,3.8,0.2682,0.3256,3.8
0.4491,0.3314,7.3,0.3174,0.5049,17,0.1952,0.1471,4.7
0.5699,0.3391,17.7,0.3303,0.5688,57.1,0.1654,0.0844,8.2
0.6069,0.3409,36.4,0.3318,0.5859,135.3,0.1571,0.0693,15.7
0.6193,0.3418,62.9,0.3319,0.594,256.6,0.1559,0.0676,27.9
0.6267,0.3439,95.8,0.3329,0.5959,386.9,0.1544,0.0659,43.2
0.6308,0.3447,133.8,0.3325,0.5978,559.3,0.1535,0.0653,59.9
0.6324,0.3439,178.1,0.3333,0.5979,778.8,0.1527,0.065,81.3
0.6329,0.3451,227.7,0.3346,0.5978,993.6,0.1513,0.0654,103.4


0.3142,0.3361,319.7
0.3124,0.3375,1294
